mosque_id,mosque_name,city,country,location_code,latitude,longitude,ramadan_isha_30min,summer_time,force_1h_more,force_1h_less,azan_offset_fajr,azan_offset_shrouq,azan_offset_dhuhr,azan_offset_asr,azan_offset_maghrib,azan_offset_isha,iqama_delay_fajr,iqama_delay_shrouq,iqama_delay_dhuhr,iqama_delay_asr,iqama_delay_maghrib,iqama_delay_isha,iqama_fixed_fajr,iqama_fixed_dhuhr,iqama_fixed_asr,iqama_fixed_isha,jumua_time,jumua_show_on_hr_screen,primary_azan,dohr_before_asr_min,eid_fitr_enabled,eid_fitr_time,eid_adha_enabled,eid_adha_time
TN-MST-001,Mosquée Al-Badr,Monastir,TN,tn.monastir,35.7643,10.8113,0,0,0,0,0,0,0,0,0,0,30,15,10,10,5,15,,13:00,,,13:15,1,0,0,0,08:00,0,07:00
TN-MST-002,Mosquée Erriadh,Monastir,TN,tn.monastir,35.7710,10.8260,0,0,0,0,0,0,0,0,0,0,25,15,15,10,5,20,,13:15,,,13:30,1,0,0,0,08:00,0,07:00
